source,title,pub_raw,link
CNBC Top News,"Flights disrupted into Newark, New York, Philadelphia after Verizon cable cut","Mon, 21 Sep 2026 19:36:24 GMT",108365725
CNBC Top News,"Much of Trump’s promised midterm election spending has yet to surface, new filing shows","Mon, 21 Sep 2026 20:34:33 GMT",108365753
CNBC Top News,"OpenAI proposes development of global AI standards to guide alignment, RSI","Mon, 21 Sep 2026 20:51:11 GMT",108365835
CNBC Top News,Trump media ban lawsuit set for Wednesday court hearing,"Mon, 21 Sep 2026 20:24:40 GMT",108365445
CNBC Top News,"Paramount and state AGs settle lawsuit, allowing Warner Bros. merger to proceed","Mon, 21 Sep 2026 20:13:15 GMT",108365676
CNBC Top News,Investors discover their new favorite consumer AI play in Meta. Options volume is surging,"Mon, 21 Sep 2026 20:13:33 GMT",108365853
CNBC Top News,Retailer Revolve announces partnership with Donatella Versace,"Mon, 21 Sep 2026 19:44:52 GMT",108365775
CNBC Top News,"Meta's Muse personal AI agent tops ChatGPT, Grok and Claude for post-launch downloads","Mon, 21 Sep 2026 21:06:53 GMT",108365733
CNBC Top News,Trump to meet with NYC Mayor Zohran Mamdani on Monday ahead of UN General Assembly,"Sun, 20 Sep 2026 19:06:16 GMT",108365422
CNBC Top News,Iranian President Pezeshkian to head to New York for UN meeting as Trump warns of no-deal consequences,"Mon, 21 Sep 2026 14:20:48 GMT",108365444
CNBC Top News,"Eli Lilly CEO says 700,000 new seniors have started GLP-1s after Medicare coverage, and 70% are on Lilly drugs","Mon, 21 Sep 2026 19:37:01 GMT",108365770
CNBC Top News,Trump says DOJ will rein in AI 'if we have to',"Mon, 21 Sep 2026 16:46:24 GMT",108365717
CNBC Top News,"Trump admin won't give AI leaders a 'liability shield,' Bessent tells CNBC","Mon, 21 Sep 2026 15:14:18 GMT",108364951
CNBC Top News,"Stock boom is fueling a ‘retirement party,’ economists say — what it means for workers","Mon, 21 Sep 2026 17:14:25 GMT",108365012
CNBC Top News,What is the White House press pool and why does it matter?,"Mon, 21 Sep 2026 21:01:26 GMT",108365617
CNBC Top News,"Eli Lilly CEO tells CNBC one-third of new GLP-1 pill patients are taking Foundayo, as drugmaker ramps up production","Mon, 21 Sep 2026 18:57:34 GMT",108365148
CNBC Top News,Nissan eyes increasing U.S. production as new Rogue hybrid launches,"Mon, 21 Sep 2026 16:53:00 GMT",108365062
CNBC Top News,Intel surges 12% as CPU stocks rally. Here's what's driving the move,"Mon, 21 Sep 2026 19:11:22 GMT",108365666
CNBC Top News,"Bitcoin hits highest level since January at $86,000, as the market debates whether the 'crypto winter' is over","Mon, 21 Sep 2026 17:38:59 GMT",108365511
CNBC Top News,U.S.-listed Greenland stocks surge after Trump announces security deal with Denmark,"Mon, 21 Sep 2026 15:34:42 GMT",108365504
CNBC Top News,"‘It's awful’: How tariffs, soaring fuel costs and higher interest rates are squeezing American companies","Mon, 21 Sep 2026 15:04:04 GMT",108364690
CNBC Top News,These Gen Z-approved investment funds are having a moment—what investors should know,"Mon, 21 Sep 2026 13:00:01 GMT",108364454
CNBC Top News,Kind Snacks founder Daniel Lubetzky: The No.1 piece of advice I give my kids about failure,"Mon, 21 Sep 2026 14:30:02 GMT",108362692
CNBC Top News,Soccer superstar Kylian Mbappé on ending 20-year journey with Nike: 'It was time to change',"Mon, 21 Sep 2026 12:44:26 GMT",108365525
CNBC Top News,Here's what the Saudi East-West pipeline shutdown means for Asia's biggest crude importers,"Mon, 21 Sep 2026 08:29:13 GMT",108362827
CNBC Top News,Russia’s pro-Putin party set to win election as Ukraine exposes war’s growing reach into Moscow,"Mon, 21 Sep 2026 09:36:23 GMT",108365473
CNBC Top News,German voters turn to left and far-right as 'disaster' for ruling CDU threatens pro-growth reforms,"Mon, 21 Sep 2026 13:22:48 GMT",108365492
CNBC Top News,Volkswagen woes deepen as blue-chip index exit follows latest profit warning,"Mon, 21 Sep 2026 09:56:27 GMT",108365507
CNBC Top News,Chinese biopharma stocks jump as U.S. weighs keeping door open to drug deals,"Mon, 21 Sep 2026 08:51:25 GMT",108365461
CNBC Top News,Treasury yields ease as global borrowing costs tumble,"Mon, 21 Sep 2026 20:55:06 GMT",108365489
CNBC Markets,"France’s wine production nears a 70-year low, leaving winemakers with tough choices","Sun, 20 Sep 2026 05:00:01 GMT",108364814
CNBC Markets,Consumer sentiment is in the dumps despite a solid economy. Goldman Sachs blames 'lower happiness',"Sat, 19 Sep 2026 12:50:49 GMT",108365102
CNBC Markets,Why Japan’s markets flipped the usual script after central bank rate hike,"Mon, 21 Sep 2026 01:02:25 GMT",108364741
CNBC Markets,"Bank of England defies Fed’s rate-hike lead, leaving rates unchanged","Thu, 17 Sep 2026 12:27:10 GMT",108363610
CNBC Markets,'Science fiction': Transport companies — the backbone of economy — are sounding alarm on fuel prices,"Wed, 16 Sep 2026 20:22:24 GMT",108363669
CNBC Markets,"Consumers hit by one-two punch of oil and rates from Iran war. The estimated bill is $1,700 per household","Wed, 16 Sep 2026 17:32:22 GMT",108363233
CNBC Markets,UK inflation jumps to 3.1% as energy costs soar,"Thu, 17 Sep 2026 07:36:04 GMT",108363464
CNBC Markets,Indonesia's new finance minister faces an uphill battle on fiscal credibility,"Wed, 16 Sep 2026 01:53:52 GMT",108362854
CNBC Markets,"Why de-dollarization discussions are more talk, less action","Tue, 15 Sep 2026 23:28:01 GMT",108362264
CNBC Markets,Counting the votes: Warsh faces a tough battle as the Fed girds for expected interest rate hike,"Mon, 14 Sep 2026 19:47:42 GMT",108362491
CNBC Markets,"Inflation is outpacing wage growth again, squeezing Americans’ paychecks","Sat, 12 Sep 2026 12:49:15 GMT",108361875
CNBC Markets,Consumer outlook plunges in September as inflation outlook worsens,"Fri, 11 Sep 2026 16:53:23 GMT",108361820
CNBC Markets,"Record U.S. cyclosporiasis outbreak is over, CDC says","Fri, 11 Sep 2026 15:36:45 GMT",108361852
CNBC Markets,"Inflation persisted in August, potentially locking in a Fed interest rate hike","Fri, 11 Sep 2026 13:46:36 GMT",108361713
CNBC Markets,Friday's CPI inflation report is even more important than usual. Here's what to expect,"Thu, 10 Sep 2026 19:18:05 GMT",108361306
CNBC Markets,The likelihood of a Fed interest rate hike next week just got a lot higher,"Thu, 10 Sep 2026 16:55:17 GMT",108361154
CNBC Markets,"Wholesale prices rose 0.4% in August, as expected","Thu, 10 Sep 2026 13:23:45 GMT",108361112
CNBC Markets,U.S. reveals import ban on slew of Canadian goods as trade war escalates,"Wed, 09 Sep 2026 16:17:46 GMT",108360189
CNBC Markets,Canada's retaliatory tariffs worth CA$27.6 billion take effect as trade rift with U.S. deepens,"Tue, 08 Sep 2026 17:11:11 GMT",108359568
CNBC Markets,China's imports in August miss estimates as calls for rebalancing trade grow,"Tue, 08 Sep 2026 04:45:07 GMT",108359503
CNBC Markets,Japan's foreign reserves drop by a record $80 billion in August following yen intervention,"Tue, 08 Sep 2026 14:15:38 GMT",108359385
CNBC Markets,Trump turns up the heat on Warsh as Fed rate hike looms,"Sat, 05 Sep 2026 19:12:53 GMT",108359305
CNBC Markets,"From ‘mystery vacations’ to hostels, budget travelers get thrifty as prices rise","Sat, 05 Sep 2026 23:55:52 GMT",108358552
CNBC Markets,Women accounted for almost all of job gains in August. Here's why,"Fri, 04 Sep 2026 18:27:39 GMT",108358990
CNBC Markets,"U.S. payrolls rose 162,000 in August, much more than expected; unemployment rate at 4.1%","Fri, 04 Sep 2026 17:16:37 GMT",108358891
CNBC Markets,The big business of personal protection: How private security became a $50 billion industry,"Fri, 04 Sep 2026 14:15:04 GMT",108351594
CNBC Markets,The big August jobs report is due out Friday. Here's what to expect for what has been a jobless summer,"Thu, 03 Sep 2026 19:38:09 GMT",108358473
CNBC Markets,Fed Governor Waller indicates he will support holding rates steady at September meeting,"Thu, 03 Sep 2026 14:06:52 GMT",108358313
CNBC Markets,'Danger zone of extreme weather': UN warns of supersized El Niño set to hit global economy and markets,"Thu, 03 Sep 2026 12:25:53 GMT",108358257
CNBC Markets,South Korea's semiconductor exports just tripled year-over-year. Is it too much of a good thing?,"Thu, 03 Sep 2026 01:11:41 GMT",108357468
CNBC Finance,"‘It's awful’: How tariffs, soaring fuel costs and higher interest rates are squeezing American companies","Mon, 21 Sep 2026 15:04:04 GMT",108364690
CNBC Finance,Three words from Kevin Warsh have Wall Street wondering how far the Fed will go with rate hikes,"Fri, 18 Sep 2026 18:28:31 GMT",108364865
CNBC Finance,Warren Buffett steps down as chairman of Berkshire Hathaway: 'Father Time always wins',"Fri, 18 Sep 2026 12:04:02 GMT",108364685
CNBC Finance,Securitize jumps after regulators greenlight some tokenized U.S. stock trading,"Thu, 17 Sep 2026 17:59:51 GMT",108364535
CNBC Finance,A Chinese AI company just connected its model to Wall Street's leading data providers,"Fri, 18 Sep 2026 08:41:11 GMT",108364239
CNBC Finance,"OpenAI and Anthropic are making 10 times more revenue than all Chinese AI models combined, research group Rhodium says","Thu, 17 Sep 2026 09:00:01 GMT",108363426
CNBC Finance,Here are five key takeaways from Wednesday's Fed rate hike,"Wed, 16 Sep 2026 21:23:51 GMT",108364023
CNBC Finance,Here is what changed in the new Fed statement under Warsh,"Wed, 16 Sep 2026 18:18:54 GMT",108363808
CNBC Finance,"Fed approves interest rate hike, signals one more to come this year","Wed, 16 Sep 2026 21:07:51 GMT",108363682
CNBC Finance,"Senate is still a toss-up, but Democrats now have slight edge, prediction market traders think","Wed, 16 Sep 2026 16:26:41 GMT",108363655
CNBC Finance,China's AI leaders keep quiet despite U.S. 'publicity' on tech risks,"Wed, 16 Sep 2026 04:01:59 GMT",108362265
CNBC Finance,"China's August retail sales miss forecast while investment slump deepens, piling pressure on Beijing","Tue, 15 Sep 2026 09:46:14 GMT",108362803
CNBC Finance,Bank of America expects third-quarter investment banking fees to fall more than 10%; shares slide,"Mon, 14 Sep 2026 20:34:23 GMT",108362591
CNBC Finance,Warsh's credibility is on the line this week as Trump policies put pressure on Fed to hike,"Mon, 14 Sep 2026 20:49:03 GMT",108362458
CNBC Finance,Prediction market traders think gas prices will hit new highs for the year,"Mon, 14 Sep 2026 15:49:39 GMT",108362448
CNBC Finance,China says AI CEOs' call for a slowdown is 'fear mongering',"Mon, 14 Sep 2026 20:56:15 GMT",108362285
CNBC Finance,"Prediction markets are becoming more professionalized, but also harder to beat","Mon, 14 Sep 2026 01:37:44 GMT",108357471
CNBC Finance,NFL and midterm elections set up prediction markets for a critical fall season,"Mon, 14 Sep 2026 12:16:52 GMT",108360478
